,Flat,Semi-Furnished,Unfurnished,Resale,Ready to Move,"Delhi,","Dwarka,","East,","Faridabad,","Ghaziabad,","Gurgaon,","Noida,","North,","Rohini,","South,","West,",Unnamed: 0,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft,has_landmark
137,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,137,12000000.0,2520.0,28.406684,76.952289,4.0,3.0,3.0,0.0,0.0,4761.9047619047615,0.0
138,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,138,4100000.0,1000.0,28.503955,77.384451,2.0,2.0,2.0,2.0,2.0,4100.0,1.0
139,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,139,3790000.0,1310.0,28.646836,77.508238,2.0,3.0,2.0,1.0,0.0,2893.1297709923665,1.0
140,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,140,5200000.0,1065.0,28.63350296020508,77.43159484863281,2.0,2.0,3.0,2.0,3.0,4882.629107981221,1.0
141,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,141,12500000.0,1830.0,28.385432,77.017122,3.0,3.0,3.0,1.0,2.0,6830.601092896175,0.0
142,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,142,15200000.0,2268.0,28.41492080688477,77.03590393066406,3.0,3.0,2.0,0.0,0.0,6701.940035273368,0.0
143,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,143,10500000.0,1821.0,28.37561513,76.95761609,3.0,3.0,3.0,0.0,0.0,5766.062602965404,0.0
144,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,144,4000000.0,1115.0,28.309616,77.55859,2.0,2.0,0.0,1.0,2.0,3587.4439461883408,0.0
145,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,145,3329999.9999999995,825.0,28.505584,77.410762,2.0,2.0,0.0,0.0,0.0,4036.363636363636,0.0
146,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,146,17000000.0,3500.0,28.63601493835449,77.43365478515625,4.0,3.0,2.0,1.0,1.0,4857.142857142857,1.0
